Распределение температуры на момент времени t = 100000 секунд:
x = 0, T = 300 C
x = 0.00204082, T = 295.918 C
x = 0.00408163, T = 291.837 C
x = 0.00612245, T = 287.755 C
x = 0.00816327, T = 283.673 C
x = 0.0102041, T = 279.592 C
x = 0.0122449, T = 275.51 C
x = 0.0142857, T = 271.429 C
x = 0.0163265, T = 267.347 C
x = 0.0183673, T = 263.265 C
x = 0.0204082, T = 259.184 C
x = 0.022449, T = 255.102 C
x = 0.0244898, T = 251.02 C
x = 0.0265306, T = 246.939 C
x = 0.0285714, T = 242.857 C
x = 0.0306122, T = 238.776 C
x = 0.0326531, T = 234.694 C
x = 0.0346939, T = 230.612 C
x = 0.0367347, T = 226.531 C
x = 0.0387755, T = 222.449 C
x = 0.0408163, T = 218.367 C
x = 0.0428571, T = 214.286 C
x = 0.044898, T = 210.204 C
x = 0.0469388, T = 206.122 C
x = 0.0489796, T = 202.041 C
x = 0.0510204, T = 197.959 C
x = 0.0530612, T = 193.878 C
x = 0.055102, T = 189.796 C
x = 0.0571429, T = 185.714 C
x = 0.0591837, T = 181.633 C
x = 0.0612245, T = 177.551 C
x = 0.0632653, T = 173.469 C
x = 0.0653061, T = 169.388 C
x = 0.0673469, T = 165.306 C
x = 0.0693878, T = 161.224 C
x = 0.0714286, T = 157.143 C
x = 0.0734694, T = 153.061 C
x = 0.0755102, T = 148.98 C
x = 0.077551, T = 144.898 C
x = 0.0795918, T = 140.816 C
x = 0.0816327, T = 136.735 C
x = 0.0836735, T = 132.653 C
x = 0.0857143, T = 128.571 C
x = 0.0877551, T = 124.49 C
x = 0.0897959, T = 120.408 C
x = 0.0918367, T = 116.327 C
x = 0.0938776, T = 112.245 C
x = 0.0959184, T = 108.163 C
x = 0.0979592, T = 104.082 C
x = 0.1, T = 100 C
